id,goal,target,indicator,series,seriesdescription,seriescount,geoareacode,country,year,value,valuetype,source,footnotes,attributes,dimensions
cyprus2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,196,Cyprus,2020,51.18069,Float,Eurostat,The Japan estimates are scheduled for late spring or early summer of 2023.,"Nature: C, Units: KG, Observation Status: D","Reporting Type: G, Food Waste Sector: HHS"
cyprus2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,196,Cyprus,2020,40.61939,Float,Eurostat,The Japan estimates are scheduled for late spring or early summer of 2023.,"Nature: C, Units: KG, Observation Status: D","Reporting Type: G, Food Waste Sector: RTL"
cyprus2020,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,196,Cyprus,2020,113.73478,Float,Eurostat,The Japan estimates are scheduled for late spring or early summer of 2023.,"Nature: C, Units: KG, Observation Status: D","Reporting Type: G, Food Waste Sector: ALL"
cyprus2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,196,Cyprus,2022,55.93342,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: RTL"
cyprus2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,196,Cyprus,2022,70.91558,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
cyprus2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,196,Cyprus,2022,29.96433,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
cyprus2022,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,196,Cyprus,2022,156.81333,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
czechia2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,203,Czechia,2019,70.87875,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: HHS"
czechia2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,203,Czechia,2019,109.81535,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: ALL"
czechia2019,12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),2171,203,Czechia,2019,25.94008,Float,Food Waste Index Report / WESR,,"Nature: E, Units: KG, Observation Status: A","Reporting Type: G, Food Waste Sector: OOHC"
